RGI_ID,Glacier_Size,Catchment_Size,Slopes_Steeper30,Deposit_Area_ASC,Avalanche_Activity_ASC,Coverage_ASC,Deposit_Area_DESC,Avalanche_Activity_DESC,Coverage_DESC
RGI60-15.10031,302400,1188400,866500,0,0,12900,24400,32800,284300
RGI60-15.10032,510900,1533000,905700,0,0,367000,21700,41200,359500
RGI60-15.10033,250400,624100,526200,0,0,1800,0,0,224600
RGI60-15.10035,74900,94400,87200,0,0,0,0,0,66800
RGI60-15.10038,57500,61700,56700,0,0,38600,0,0,51800
RGI60-15.10040,826200,1488900,915100,12000,7400,534400,22500,27000,356800
RGI60-15.10041,476700,509300,459400,0,0,15300,0,0,369200
RGI60-15.10042,245100,338000,203000,0,0,224700,0,0,102100
RGI60-15.10043,16800,19400,14300,0,0,16800,0,0,5100
RGI60-15.10044,149600,352700,275800,0,0,61800,0,0,39700
RGI60-15.10046,113700,111900,61300,0,0,103200,0,0,2200
RGI60-15.10048,213700,263900,233300,0,0,35800,0,0,170500
RGI60-15.10051,1050200,1488900,828500,16200,8800,437600,36000,25200,717900
RGI60-15.10054,2570900,3704600,1153700,8600,4800,1609300,211300,358000,1772600
RGI60-15.10055,26709000,47109200,21699700,1152500,1157600,18761400,1127000,2047400,15960100
RGI60-15.10056,7269400,8349300,3286700,78700,58400,4962900,309900,559400,5172700
RGI60-15.10058,309400,317900,108400,0,0,86700,0,0,118400
RGI60-15.10059,383700,488800,76100,0,0,2300,16300,15400,251200
RGI60-15.10060,1394900,2176200,1197600,0,0,428600,34700,35800,1078800
RGI60-15.10063,408100,800100,412700,0,0,363300,0,0,110400
RGI60-15.10064,442300,416000,295000,4600,2500,362700,0,0,2900
RGI60-15.10066,64300,73000,31900,0,0,11800,0,0,25600
RGI60-15.10067,600700,1089900,689800,0,0,494300,0,0,280100
RGI60-15.10070,12638300,16725100,5605200,103800,76600,9396200,357000,502800,8836800
RGI60-15.10076,5243600,7559200,4132500,155300,102100,2738200,583600,919300,3110800
RGI60-15.10147,33259600,49669000,20900300,965100,836200,18606600,2458000,5652800,25762400
RGI60-15.10161,2628600,3888300,1767100,59000,38700,1786600,171800,255400,2276000
RGI60-15.10165,467900,874300,533000,0,0,46700,27700,31400,442200
RGI60-15.10167,16000,18700,16400,0,0,300,0,0,3200
RGI60-15.10169,93600,107700,75900,0,0,0,0,0,65300
RGI60-15.10170,29700,56500,50400,0,0,0,0,0,20700
RGI60-15.10180,19816700,28126800,15449500,402200,392600,10566500,1313400,3910600,12802700
RGI60-15.10197,50300,67900,48900,0,0,300,0,0,29300
